HKK 33 V2.0
EG.RM Beleuchtung.0/1/3	7 - EG Flur Deckenspots STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/4	8 - EG Müll aussen STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/5	9 - EG WC STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/6	10 - EG Treppe zum HG STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/7	4b - EG Wohnzimmer Deckenspots STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/8	3 - EG - Esszimmer STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/9	3 - EG - Esszimmer HELLIGKEITSWERT	Uncertain (1 Byte)	Low	
EG.RM Beleuchtung.0/1/10	4 - EG Wohnzimmer Big Bang STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Beleuchtung.0/1/11	4 - EG Wohnzimmer Big Bang HELLIGKEITSWERT	Uncertain (1 Byte)	Low	
EG.Rollläden.0/2/0	Rolladen L/M - EG Küche Seite AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/0 5/3/3
EG.Rollläden.0/2/1	Rollladen A - EG Esszimmer Eck AUF/AB	EIS 1 'Switching' (1 Bit)	Low	0/2/15 5/3/0 5/3/3
EG.Rollläden.0/2/2	Rollladen A - EG Esszimmer Eck START/STOP	EIS 1 'Switching' (1 Bit)	Low	0/2/16 5/3/4 5/3/7
EG.Rollläden.0/2/3	Rolladen A - EG Esszimmer Eck POSITION	Uncertain (1 Byte)	Low	0/2/17
EG.Rollläden.0/2/4	Rolladen B - EG Ausgang Balkon AUF/AB	EIS 1 'Switching' (1 Bit)	Low	0/2/15 5/3/0 5/3/3
EG.Rollläden.0/2/5	Rolladen B - EG Ausgang Balkon START/STOP	EIS 1 'Switching' (1 Bit)	Low	0/2/16 5/3/4 5/3/7
EG.Rollläden.0/2/6	Rolladen B - EG Ausgang Balkon POSITION	Uncertain (1 Byte)	Low	0/2/17
EG.Rollläden.0/2/7	Rolladen C - EG Wohnzimmer AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/0 5/3/3
